,Time,Time,Expert1,Expert1,Expert2,Expert2,Expert3,Expert3
,Minute,Second,Stress/No Stress,Reaction/No Reaction,Stress/No Stress,Reaction/No Reaction,Stress/No Stress,Reaction/No Reaction
0,0,10,Stress,No Reaction,Stress,Reaction,No Stress,No Reaction
1,0,20,Stress,Reaction,Stress,Reaction,No Stress,No Reaction
2,0,30,Stress,Reaction,Stress,Reaction,No Stress,No Reaction
3,0,40,No Stress,No Reaction,No Stress,No Reaction,Stress,Reaction
4,0,50,No Stress,No Reaction,No Stress,No Reaction,No Stress,No Reaction
5,0,60,No Stress,No Reaction,No Stress,No Reaction,No Stress,No Reaction
6,1,70,No Stress,No Reaction,No Stress,No Reaction,No Stress,No Reaction
7,1,80,No Stress,No Reaction,No Stress,No Reaction,No Stress,No Reaction
8,1,90,No Stress,No Reaction,No Stress,No Reaction,No Stress,No Reaction
9,1,100,No Stress,No Reaction,No Stress,No Reaction,No Stress,No Reaction
10,1,110,No Stress,No Reaction,No Stress,No Reaction,No Stress,No Reaction
11,1,120,No Stress,No Reaction,No Stress,No Reaction,No Stress,No Reaction
12,2,130,No Stress,No Reaction,No Stress,No Reaction,No Stress,No Reaction
13,2,140,No Stress,No Reaction,No Stress,No Reaction,No Stress,No Reaction
14,2,150,No Stress,No Reaction,No Stress,No Reaction,Stress,No Reaction
15,2,160,No Stress,No Reaction,No Stress,No Reaction,No Stress,No Reaction
16,2,170,No Stress,No Reaction,No Stress,No Reaction,No Stress,No Reaction
17,2,180,No Stress,No Reaction,No Stress,No Reaction,No Stress,No Reaction
18,3,190,No Stress,No Reaction,No Stress,No Reaction,No Stress,No Reaction
19,3,200,No Stress,No Reaction,No Stress,No Reaction,No Stress,No Reaction
20,3,210,No Stress,No Reaction,No Stress,No Reaction,No Stress,No Reaction
21,3,220,No Stress,Reaction,No Stress,No Reaction,No Stress,No Reaction
22,3,230,No Stress,No Reaction,No Stress,No Reaction,No Stress,No Reaction
23,3,240,No Stress,No Reaction,No Stress,No Reaction,No Stress,No Reaction
24,4,250,No Stress,No Reaction,No Stress,No Reaction,No Stress,No Reaction
25,4,260,No Stress,No Reaction,No Stress,No Reaction,No Stress,No Reaction
26,4,270,No Stress,No Reaction,No Stress,No Reaction,No Stress,No Reaction
27,4,280,No Stress,No Reaction,No Stress,No Reaction,No Stress,No Reaction
28,4,290,No Stress,No Reaction,No Stress,No Reaction,No Stress,No Reaction
29,4,300,No Stress,No Reaction,No Stress,No Reaction,No Stress,No Reaction
30,5,310,No Stress,No Reaction,No Stress,No Reaction,No Stress,No Reaction
31,5,320,No Stress,No Reaction,No Stress,No Reaction,No Stress,No Reaction
32,5,330,No Stress,No Reaction,No Stress,No Reaction,No Stress,No Reaction
33,5,340,No Stress,No Reaction,No Stress,No Reaction,No Stress,No Reaction
34,5,350,No Stress,No Reaction,No Stress,No Reaction,No Stress,No Reaction
35,5,360,Stress,Reaction,No Stress,Reaction,No Stress,No Reaction
36,6,370,No Stress,Reaction,No Stress,No Reaction,No Stress,No Reaction
37,6,380,No Stress,No Reaction,No Stress,No Reaction,No Stress,No Reaction
38,6,390,No Stress,No Reaction,No Stress,No Reaction,No Stress,No Reaction
39,6,400,No Stress,No Reaction,No Stress,No Reaction,No Stress,No Reaction
40,6,410,No Stress,No Reaction,No Stress,Reaction,No Stress,No Reaction
41,6,420,No Stress,No Reaction,No Stress,No Reaction,No Stress,No Reaction
42,7,430,No Stress,No Reaction,No Stress,No Reaction,No Stress,No Reaction
43,7,440,No Stress,No Reaction,No Stress,No Reaction,No Stress,No Reaction
44,7,450,No Stress,No Reaction,No Stress,No Reaction,No Stress,No Reaction
45,7,460,,,,,,
46,7,470,,,,,,
47,7,480,,,,,,
